JOBS_NAME,JOB_URL,JOB_LAST_BUILD_STATUS
code3,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/code3/,blue
Dev-,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/Dev-/,
Devops,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/Devops/,
devops-ci,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/devops-ci/,blue
first-job,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/first-job/,blue
geo-app,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/geo-app/,blue
geo-location,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/geo-location/,blue
mavenproject,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/mavenproject/,blue
QA,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/QA/,
terrafom,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/terrafom/,blue
terraform-code,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/terraform-code/,blue
terraform-code1,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/terraform-code1/,blue
terraform-code4,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/terraform-code4/,blue
test-job,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/test-job/,blue
week16-project,http://ec2-3-84-131-57.compute-1.amazonaws.com:8080/job/week16-project/,
